latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
20.56047,-76.27069,335.62,1.03,1.01,2023-02-03,03:00,T,100,6.1NRT,294.16,37.09,N
20.55904,-76.28036,330.05,1.03,1.01,2023-02-03,03:00,T,100,6.1NRT,293.98,29.07,N
21.18351,-77.94653,309.46,1.17,1.08,2023-02-03,03:00,T,77,6.1NRT,292.65,10.6,N
21.19472,-77.93727,306.93,1.17,1.08,2023-02-03,03:00,T,63,6.1NRT,292.53,8.26,N
21.19301,-77.94829,316.73,1.17,1.08,2023-02-03,03:00,T,94,6.1NRT,292.8,17.64,N
21.23943,-77.71088,307.68,1.14,1.06,2023-02-03,03:00,T,72,6.1NRT,291.66,9.85,N
21.66287,-79.30812,313.21,1.37,1.16,2023-02-03,03:00,T,87,6.1NRT,292.94,18.31,N
22.18312,-78.83067,315.54,1.26,1.12,2023-02-03,03:00,T,91,6.1NRT,292.3,19.88,N
22.18517,-78.8252,313.4,1.26,1.12,2023-02-03,03:00,T,87,6.1NRT,292.59,17.91,N
22.18321,-78.83712,304.48,1.26,1.12,2023-02-03,03:00,T,60,6.1NRT,291.57,9.27,N
18.33159,-71.96915,307.41,1.19,1.09,2023-02-03,03:00,T,71,6.1NRT,285.5,12.87,N
18.9787,-72.16495,303.67,1.18,1.08,2023-02-03,03:00,T,56,6.1NRT,292.84,6.85,N
20.30735,-76.9757,315.59,1.09,1.04,2023-02-03,03:00,T,92,6.1NRT,292.65,15.13,N
20.53111,-75.57982,306.16,1,1,2023-02-03,03:00,T,64,6.1NRT,291.69,6.75,N
20.52975,-75.58935,315.18,1,1,2023-02-03,03:00,T,91,6.1NRT,293.72,13.04,N
20.53726,-75.60033,313.22,1,1,2023-02-03,03:00,T,87,6.1NRT,293.3,11.25,N
20.55007,-76.27883,324.77,1.03,1.01,2023-02-03,03:00,T,100,6.1NRT,294.54,22.98,N
20.54864,-76.2885,308.39,1.03,1.01,2023-02-03,03:00,T,74,6.1NRT,293.8,7.83,N
17.89607,-92.50932,301.78,2.27,1.46,2023-02-03,04:38,T,44,6.1NRT,290.22,13.86,N
17.84139,-93.10977,335.98,2.04,1.39,2023-02-03,04:38,T,100,6.1NRT,291.1,105.19,N
17.83923,-93.12869,327.41,2.03,1.39,2023-02-03,04:38,T,100,6.1NRT,291.23,72.31,N
17.89663,-92.49381,314.61,2.28,1.46,2023-02-03,04:38,T,90,6.1NRT,290.06,40.95,N
17.84413,-93.11588,344.58,2.04,1.39,2023-02-03,04:38,T,100,6.1NRT,291.55,146.45,N
17.8421,-93.13477,310.84,2.03,1.39,2023-02-03,04:38,T,81,6.1NRT,290.93,28.68,N
17.88522,-93.19713,301.55,2.01,1.38,2023-02-03,04:38,T,42,6.1NRT,291,12.82,N
17.89963,-93.17981,323.98,2.02,1.38,2023-02-03,04:38,T,100,6.1NRT,291.82,61.19,N
17.87653,-93.49113,303.18,1.91,1.35,2023-02-03,04:38,T,51,6.1NRT,287.95,15.68,N
17.89751,-93.19863,312.97,2.01,1.38,2023-02-03,04:38,T,86,6.1NRT,291.27,32.46,N
17.87449,-93.50887,305.29,1.9,1.35,2023-02-03,04:38,T,61,6.1NRT,288.34,19.4,N
17.97287,-94.52762,304.44,1.61,1.25,2023-02-03,04:38,T,55,6.1NRT,291.85,11.77,N
18.09694,-94.05366,302.18,1.75,1.3,2023-02-03,04:38,T,47,6.1NRT,288.2,11.98,N
18.09579,-94.04279,304.33,1.75,1.3,2023-02-03,04:38,T,52,6.1NRT,289.51,13.93,N
18.2055,-94.00686,305.31,1.77,1.3,2023-02-03,04:38,T,45,6.1NRT,290.67,15.36,N
18.2021,-94.01301,302.86,1.77,1.3,2023-02-03,04:38,T,51,6.1NRT,290.76,13.54,N
18.6461,-92.1783,307.68,2.47,1.51,2023-02-03,04:38,T,72,6.1NRT,292.52,26.56,N
19.29829,-92.15379,309.34,2.53,1.53,2023-02-03,04:38,T,66,6.1NRT,292.51,28.56,N
19.29581,-92.17744,319.31,2.52,1.53,2023-02-03,04:38,T,98,6.1NRT,292.64,59.78,N
19.29194,-92.15981,317.62,2.53,1.53,2023-02-03,04:38,T,94,6.1NRT,292.58,52.49,N
19.28964,-92.18349,311.08,2.52,1.53,2023-02-03,04:38,T,74,6.1NRT,292.58,31.54,N
19.3998,-92.05088,306.62,2.58,1.54,2023-02-03,04:38,T,47,6.1NRT,292.25,23.48,N
19.39494,-92.03129,305.86,2.6,1.55,2023-02-03,04:38,T,35,6.1NRT,292.35,20.16,N
19.3926,-92.0556,307.58,2.58,1.54,2023-02-03,04:38,T,55,6.1NRT,292.21,24.25,N
19.02073,-98.62395,310.63,1.02,1.01,2023-02-03,04:38,T,81,6.1NRT,270.9,14.5,N
20.24385,-100.542,303.55,1.01,1.01,2023-02-03,04:38,T,56,6.1NRT,280.75,9.31,N
17.8984,-92.48822,313.6,2.28,1.46,2023-02-03,04:38,T,87,6.1NRT,290.41,39.57,N
17.89515,-93.18102,309.89,1.4,1.17,2023-02-03,07:52,A,79,6.1NRT,292.27,14.13,N
19.60284,-92.29182,308.56,1.3,1.13,2023-02-03,07:52,A,61,6.1NRT,291.95,11.16,N
19.30202,-92.16898,309.42,1.27,1.12,2023-02-03,07:52,A,50,6.1NRT,288.02,12.75,N
19.30045,-92.15706,310.09,1.27,1.12,2023-02-03,07:52,A,47,6.1NRT,287.65,14.84,N
19.29203,-92.17038,305.17,1.27,1.12,2023-02-03,07:52,A,13,6.1NRT,286.88,8.63,N
17.90317,-93.1877,315.87,1.41,1.17,2023-02-03,07:52,A,92,6.1NRT,292.24,20.78,N
17.90154,-93.17461,322.87,1.4,1.17,2023-02-03,07:52,A,100,6.1NRT,292.4,31.6,N
17.90563,-93.1796,323.54,1.4,1.17,2023-02-03,07:52,A,100,6.1NRT,292.34,32.62,N
17.89686,-93.19406,306.79,1.41,1.17,2023-02-03,07:52,A,69,6.1NRT,291.95,10.81,N
17.84494,-93.12148,334.62,1.39,1.17,2023-02-03,07:52,A,100,6.1NRT,292.59,56.38,N
17.84328,-93.10855,349.15,1.39,1.17,2023-02-03,07:52,A,100,6.1NRT,292.95,98.08,N
19.41239,-155.26468,314.87,2.05,1.39,2023-02-03,07:54,T,48,6.1NRT,276.4,39.94,N
19.39683,-155.28099,310.7,2.06,1.4,2023-02-03,07:54,T,38,6.1NRT,277.8,30.48,N
19.40574,-155.30215,310.64,2.07,1.4,2023-02-03,07:54,T,50,6.1NRT,277.11,28.66,N
19.40903,-155.28363,359.61,2.06,1.4,2023-02-03,07:54,T,100,6.1NRT,279.8,245.71,N
19.44232,-72.56634,320.48,1.02,1.01,2023-02-03,15:09,T,73,6.1NRT,301.53,9.61,D
