latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.0673,-72.35937,302.16,0.61,0.71,2023-01-18,05:33,1,nominal,2.0NRT,288.59,0.92,N
18.93248,-70.3575,345.08,0.45,0.63,2023-01-18,05:33,1,nominal,2.0NRT,289.06,3.17,N
18.93204,-70.3531,321.72,0.45,0.63,2023-01-18,05:33,1,nominal,2.0NRT,289.42,3.17,N
18.74254,-68.53024,313.4,0.34,0.56,2023-01-18,05:33,1,nominal,2.0NRT,292.69,0.64,N
18.92661,-70.3576,315.88,0.45,0.63,2023-01-18,05:33,1,nominal,2.0NRT,288.37,3.17,N
18.92616,-70.35312,309.42,0.45,0.63,2023-01-18,05:33,1,nominal,2.0NRT,288.9,3.17,N
19.06595,-72.35934,300.3,0.62,0.71,2023-01-18,05:33,1,nominal,2.0NRT,288.34,0.64,N
18.29763,-70.1364,303.03,0.43,0.62,2023-01-18,05:35,1,nominal,2.0NRT,290.03,0.52,N
18.40149,-71.28883,315.17,0.51,0.66,2023-01-18,05:35,1,nominal,2.0NRT,289.89,1.83,N
36.35561,-76.80778,305.85,0.44,0.38,2023-01-18,07:09,1,nominal,2.0NRT,268.44,1.33,N
39.96417,-76.59598,311.35,0.41,0.37,2023-01-18,07:09,1,nominal,2.0NRT,274.81,1.37,N
39.94903,-76.76867,295.92,0.41,0.37,2023-01-18,07:09,1,nominal,2.0NRT,276.64,0.66,N
39.9398,-76.81576,313.08,0.41,0.37,2023-01-18,07:09,1,nominal,2.0NRT,278.6,1.55,N
39.43436,-77.97849,302.27,0.39,0.36,2023-01-18,07:09,1,nominal,2.0NRT,278.17,0.55,N
38.84818,-76.78175,295.8,0.42,0.37,2023-01-18,07:09,1,nominal,2.0NRT,273.25,0.27,N
38.34518,-78.03889,295.08,0.39,0.37,2023-01-18,07:09,1,nominal,2.0NRT,275.7,0.41,N
38.01282,-76.77068,305.91,0.42,0.38,2023-01-18,07:09,1,nominal,2.0NRT,271.32,0.9,N
38.00941,-76.77166,297.18,0.42,0.38,2023-01-18,07:09,1,nominal,2.0NRT,271.01,0.66,N
38.59958,-82.82605,305.86,0.44,0.38,2023-01-18,07:09,1,nominal,2.0NRT,281.42,1.63,N
38.59672,-82.83181,308.07,0.44,0.38,2023-01-18,07:09,1,nominal,2.0NRT,281.45,1.85,N
38.42484,-82.05474,299.86,0.42,0.37,2023-01-18,07:09,1,nominal,2.0NRT,275.59,0.57,N
38.62271,-83.66987,303.58,0.47,0.4,2023-01-18,07:09,1,nominal,2.0NRT,276.63,1.24,N
37.53995,-76.80651,296.42,0.43,0.38,2023-01-18,07:09,1,nominal,2.0NRT,276.91,0.77,N
37.06566,-77.18139,298.9,0.42,0.38,2023-01-18,07:09,1,nominal,2.0NRT,274.42,0.5,N
37.3827,-80.6643,296.22,0.39,0.36,2023-01-18,07:09,1,nominal,2.0NRT,278.09,0.71,N
37.27422,-79.99954,325.74,0.38,0.36,2023-01-18,07:09,1,nominal,2.0NRT,281.48,2.2,N
33.23643,-87.51212,297.3,0.41,0.45,2023-01-18,07:11,1,nominal,2.0NRT,285.92,0.49,N
33.23597,-87.50768,297.3,0.41,0.45,2023-01-18,07:11,1,nominal,2.0NRT,286.5,0.49,N
33.2323,-87.51277,317.49,0.41,0.45,2023-01-18,07:11,1,nominal,2.0NRT,285.53,1.68,N
33.10608,-86.79842,301.97,0.57,0.43,2023-01-18,07:11,1,nominal,2.0NRT,285.94,1.91,N
33.09485,-86.80646,309.84,0.57,0.43,2023-01-18,07:11,1,nominal,2.0NRT,285.07,2.11,N
32.3165,-90.13386,302.91,0.57,0.52,2023-01-18,07:11,1,nominal,2.0NRT,286.75,1.03,N
32.19748,-90.37914,337.83,0.59,0.53,2023-01-18,07:11,1,nominal,2.0NRT,287.21,10.95,N
32.19695,-90.37291,315.52,0.59,0.53,2023-01-18,07:11,1,nominal,2.0NRT,286.37,10.95,N
32.25027,-97.55614,297.89,0.78,0.78,2023-01-18,07:11,1,nominal,2.0NRT,281.3,2.79,N
34.80669,-88.32422,311.13,0.48,0.48,2023-01-18,07:11,1,nominal,2.0NRT,280.9,1.67,N
34.95209,-90.52132,295.31,0.32,0.55,2023-01-18,07:11,1,nominal,2.0NRT,279.66,0.7,N
34.56991,-89.03018,302.18,0.52,0.5,2023-01-18,07:11,1,nominal,2.0NRT,278.65,1.26,N
34.54606,-90.90494,302.29,0.33,0.56,2023-01-18,07:11,1,nominal,2.0NRT,283.51,0.59,N
33.01587,-79.88467,299.58,0.39,0.36,2023-01-18,07:11,1,nominal,2.0NRT,282.43,0.62,N
33.58233,-86.78188,299.99,0.38,0.43,2023-01-18,07:11,1,nominal,2.0NRT,285.93,0.49,N
33.54825,-86.80401,301.18,0.38,0.43,2023-01-18,07:11,1,nominal,2.0NRT,285.82,0.47,N
33.54426,-86.80462,304.9,0.38,0.43,2023-01-18,07:11,1,nominal,2.0NRT,285.53,1.02,N
33.53523,-86.75873,328.03,0.57,0.43,2023-01-18,07:11,1,nominal,2.0NRT,286.37,4.57,N
33.44199,-88.57117,319.41,0.48,0.48,2023-01-18,07:11,1,nominal,2.0NRT,286.16,1.9,N
33.16438,-86.21813,300.95,0.53,0.42,2023-01-18,07:11,1,nominal,2.0NRT,285.85,1.04,N
33.22341,-86.81647,301.57,0.57,0.43,2023-01-18,07:11,1,nominal,2.0NRT,285.45,1.52,N
33.22071,-86.79176,299.93,0.57,0.43,2023-01-18,07:11,1,nominal,2.0NRT,285.3,1.46,N
33.39732,-88.61918,315.89,0.48,0.48,2023-01-18,07:11,1,nominal,2.0NRT,284.94,1.29,N
33.3929,-88.6198,295.19,0.48,0.48,2023-01-18,07:11,1,nominal,2.0NRT,285.15,1.29,N
33.38453,-88.62621,297.82,0.48,0.48,2023-01-18,07:11,1,nominal,2.0NRT,285.25,1.17,N
23.08757,-81.27053,298.48,0.43,0.38,2023-01-18,07:13,1,nominal,2.0NRT,288.09,1.14,N
23.15047,-81.88251,312.42,0.41,0.37,2023-01-18,07:13,1,nominal,2.0NRT,289.94,1.18,N
22.87295,-81.25196,309.34,0.43,0.38,2023-01-18,07:13,1,nominal,2.0NRT,285.75,1.4,N
22.60134,-79.84671,328.86,0.5,0.41,2023-01-18,07:13,1,nominal,2.0NRT,288.73,5.09,N
22.70226,-80.71695,313.73,0.45,0.39,2023-01-18,07:13,1,nominal,2.0NRT,287.97,1.41,N
